name,score,ingredients
"Mineral Fusion Mascara, Waterproof Cliff",1,"Aqua, Carnauba (Copernicia Cerifera) Wax, Cera Alba (Beeswax), Arabica Gum, Alcohol, Sodium Dehydroacetate, Dehydroxanthan Gum, Cetearyl Alcohol, Polysorbate 60, Tocopherol (Vitamin E), Origanum Vulgare (Oregano) Leaf Extract, Argania Spinosa (Argan) Oil, Aloe Barbadensis (Aloe Vera) Leaf Juice, Rosa Canina (Rosehip) Flower Extract, Panthenol (Vitamin B5), Camellia Sinensis (Green Tea) Extract, Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Mascara, Volumizing Midnight",1,"Aqua (Water), Stearic Acid, Cera Alba (Beeswax), Carnauba (Copernicia Cerifera) Wax, Candelilla (Euphorbia Cerifera) Wax, Glyceryl Stearate, Sorbitan Sesquioleate, Shellac, Vegetable Glycerin, Punica Granatum (Pomegranate) Extract, Tocopheryl Acetate (Vitamin E), Camellia Sinensis (White Tea) Leaf Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice, Sodium Hydroxide, Phenoxyethanol, Caprylyl Glycol, Sorbic Acid, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Mascara, Volumizing Jet",1,"Aqua (Water), Cera Alba (Beeswax), Stearic Acid, Copernicia Cerifera (Carnauba) Wax, Euphorbia Cerifera (Candelilla) Wax, Glyceryl Stearate, Sorbitan Sesquioleate, Shellac, Vegetable Glycerin, Punica Granatum (Pomegranate) Extract, Tocopherol Acetate (Vitamin E), Camelia Sinensis (White Tea) Leaf Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice, Sodium Hydroxide, Caprylyl Glycol, Sorbic Acid, Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Mascara, Volumizing Chestnut",1,"Aqua (Water), Cera Alba (Beeswax), Stearic Acid, Copernicia Cerifera (Carnauba) Wax, Euphorbia Cerifera (Candelilla) Wax, Glyceryl Stearate, Sorbitan Sesquioleate, Shellac, Vegetable Glycerin, Punica Granatum (Pomegranate) Extract, Tocopherol Acetate (Vitamin E), Camelia Sinensis (White Tea) Leaf Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice, Sodium Hydroxide, Caprylyl Glycol, Sorbic Acid, Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Mascara, Lengthening Rock",1,"Aqua (Water), Cera Alba (Beeswax), Stearic Acid, Copernicia Cerifera (Carnauba) Wax, Synthetic Wax, Propylene Glycol Monostearate, Paraffin, Butylene Glycol, C18-36 Acid Triglyceride, Hydroxyethylcellulose, Sodium Hydroxide, Lecithin, Polysorbate 20, Sorbitan Laurate, Propylene Glycol Laurate/Stearate, Phenoxyethanol, Ethylhexyglycerin, May contain: Iron Oxides"
"Mineral Fusion Mascara, Lengthening Graphite",1,"Aqua (Water), Copernicia Cerifera (Carnauba) Wax, Stearic Acid, Cera Alba (Beeswax), Synthetic Wax, Propylene Glycol Monostearate, Glycerin, Hydroxyethylcellulose, Kaolin, PVP, Triticum Vulgare (Wheat) Protein, Gossypium Herbaceum (Cotton), Sodium Hydroxide, Lecithin, Polysorbate 20, Sorbitan Laurate, Panthenol, Propylene Glycol Laurate, Phenoxyethanol, Ethylhexyglycerin, May contain: Iron Oxide"
"Mineral Fusion Mascara, Curling Ridge",1,"Aqua (Water), Glycerin, Cera Alba (Beeswax), Copernicia Cerifera (Carnauba) Wax, Euphorbia Cerifera (Candelilla) Wax, Stearyl Alcohol, Sorbitan Sesquioleate, Rice Bran Wax, Stearic Acid, Punica Granatum (Pomegranate) Extract, Tocopheryl (Vitamin E) Acetate, Camellia Sinensis (White Tea) Leaf Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice, Phenoxyethanol, Caprylyl Glycol, Sorbic Acid, May contain: Black Iron Oxide, Yellow Iron Oxide, Red Iron Oxide, Titanium Dioxide"
"Mineral Fusion Mascara, Curling Gravity",1,"Aqua (Water), Glycerin, Cera Alba (Beeswax), Copernicia Cerifera (Carnauba) Wax, Euphorbia Cerifera (Candelilla) Wax, Stearyl Alcohol, Sorbitan Sesquioleate, Rice Bran Wax, Stearic Acid, Punica Granatum (Pomegranate) Extract, Tocopheryl (Vitamin E) Acetate, Camellia Sinensis (White Tea) Leaf Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice, Phenoxyethanol, Caprylyl Glycol, Sorbic Acid, May contain: Black Iron Oxide, Yellow Iron Oxide, Red Iron Oxide, Titanium Dioxide"
"Mineral Fusion Liquid Lip Gloss, Sensitive",1,"Triisostearyl Citrate, Sesamum Indicum (Sesame) Seed Oil*, Ricinus Communis (Castor) Seed Oil*, Theobroma Cacao (Cocoa) Seed Butter*, Brassica Campestris Aleurites Ford Oil Copolymer, Cocos Nucifera (Coconut) Oil*, Butyrospermum Parkii (Shea Butter) Fruit*, Rosa Canina (Rose Hip) Fruit Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Of cinalis (Rosemary) Oil*, Aloe Barbadensis Leaf Extract*, Calendula Of cinalis Flower Oil*, Vanilla Planifolia Fruit Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid, Tocopherol, May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Liquid Lip Gloss, Reflect",1,"Triisostearyl Citrate, Sesamum Indicum (Sesame) Seed Oil*, Ricinus Communis (Castor) Seed Oil*, Theobroma Cacao (Cocoa) Seed Butter*, Brassica Campestris Aleurites Ford Oil Copolymer, Cocos Nucifera (Coconut) Oil*, Butyrospermum Parkii (Shea Butter) Fruit*, Rosa Canina (Rose Hip) Fruit Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Of cinalis (Rosemary) Oil*, Aloe Barbadensis Leaf Extract*, Calendula Of cinalis Flower Oil*, Vanilla Planifolia Fruit Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid, Tocopherol, May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Liquid Lip Gloss, Heat",1,"Triisostearyl Citrate, Sesamum Indicum (Sesame) Seed Oil*, Ricinus Communis (Castor) Seed Oil*, Theobroma Cacao (Cocoa) Seed Butter*, Brassica Campestris Aleurites Ford Oil Copolymer, Cocos Nucifera (Coconut) Oil*, Butyrospermum Parkii (Shea Butter) Fruit*, Rosa Canina (Rose Hip) Fruit Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Of cinalis (Rosemary) Oil*, Aloe Barbadensis Leaf Extract*, Calendula Of cinalis Flower Oil*, Vanilla Planifolia Fruit Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid, Tocopherol, May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Liquid Lip Gloss, Enlighten",1,"Triisostearyl Citrate, Sesamum Indicum (Sesame) Seed Oil*, Ricinus Communis (Castor) Seed Oil*, Theobroma Cacao (Cocoa) Seed Butter*, Brassica Campestris Aleurites Ford Oil Copolymer, Cocos Nucifera (Coconut) Oil*, Butyrospermum Parkii (Shea Butter) Fruit*, Rosa Canina (Rose Hip) Fruit Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Of cinalis (Rosemary) Oil*, Aloe Barbadensis Leaf Extract*, Calendula Of cinalis Flower Oil*, Vanilla Planifolia Fruit Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid, Tocopherol, May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Liquid Lip Gloss, Delicate",1,"Triisostearyl Citrate, Sesamum Indicum (Sesame) Seed Oil*, Ricinus Communis (Castor) Seed Oil*, Theobroma Cacao (Cocoa) Seed Butter*, Brassica Campestris Aleurites Ford Oil Copolymer, Cocos Nucifera (Coconut) Oil*, Butyrospermum Parkii (Shea Butter) Fruit*, Rosa Canina (Rose Hip) Fruit Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Of cinalis (Rosemary) Oil*, Aloe Barbadensis Leaf Extract*, Calendula Of cinalis Flower Oil*, Vanilla Planifolia Fruit Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid, Tocopherol, May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Liquid Foundation, Warm 3",1,"Aqua (Water), Caprylic/Capric Triglyceride, Beeswax, Stearic Acid, Glycerol Caprylate, Glycol Palmitate, Glyceryl Stearate, Silica, Oryza Sativa (Rice) Starch, Mica, Dimethicone, Butyrospermum Parkii (Shea Butter) Fruit, Tocopherol (Vitamin E), Palmitoyl Tripeptide-5, Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Rosa Canina (Rosehip) Oil, Aspalathus Linearis (Rooibos Red Tea), Thymus Vulgaris (Thyme) Extract, Olea Europaea (Olive) Leaf Extract, Camellia Sinensis (Green tea) Leaf Extract, Punica Granatum (Pomegranate) Extract, Glycyrrhiza Glabra (Licorice) Root Powder, L-Ascorbic-Acid (Vitamin C), Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Liquid Foundation, Warm 2",1,"Aqua (Water), Caprylic/Capric Triglyceride, Beeswax, Stearic Acid, Glycerol Caprylate, Glycol Palmitate, Glyceryl Stearate, Silica, Oryza Sativa (Rice) Starch, Mica, Dimethicone, Butyrospermum Parkii (Shea Butter) Fruit, Tocopherol (Vitamin E), Palmitoyl Tripeptide-5, Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Rosa Canina (Rosehip) Oil, Aspalathus Linearis (Rooibos Red Tea), Thymus Vulgaris (Thyme) Extract, Olea Europaea (Olive) Leaf Extract, Camellia Sinensis (Green tea) Leaf Extract, Punica Granatum (Pomegranate) Extract, Glycyrrhiza Glabra (Licorice) Root Powder, L-Ascorbic-Acid (Vitamin C), Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Liquid Foundation, Warm 1",1,"Aqua (Water), Caprylic/Capric Triglyceride, Beeswax, Stearic Acid, Glycerol Caprylate, Glycol Palmitate, Glyceryl Stearate, Silica, Oryza Sativa (Rice) Starch, Mica, Dimethicone, Butyrospermum Parkii (Shea Butter) Fruit, Tocopherol (Vitamin E), Palmitoyl Tripeptide-5, Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Rosa Canina (Rosehip) Oil, Aspalathus Linearis (Rooibos Red Tea), Thymus Vulgaris (Thyme) Extract, Olea Europaea (Olive) Leaf Extract, Camellia Sinensis (Green tea) Leaf Extract, Punica Granatum (Pomegranate) Extract, Glycyrrhiza Glabra (Licorice) Root Powder, L-Ascorbic-Acid (Vitamin C), Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Liquid Foundation, Olive 2",1,"Aqua (Water), Caprylic/Capric Triglyceride, Beeswax, Stearic Acid, Glycerol Caprylate, Glycol Palmitate, Glyceryl Stearate, Silica, Oryza Sativa (Rice) Starch, Mica, Dimethicone, Butyrospermum Parkii (Shea Butter) Fruit, Tocopherol (Vitamin E), Palmitoyl Tripeptide-5, Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Rosa Canina (Rosehip) Oil, Aspalathus Linearis (Rooibos Red Tea), Thymus Vulgaris (Thyme) Extract, Olea Europaea (Olive) Leaf Extract, Camellia Sinensis (Green tea) Leaf Extract, Punica Granatum (Pomegranate) Extract, Glycyrrhiza Glabra (Licorice) Root Powder, L-Ascorbic-Acid (Vitamin C), Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Liquid Foundation, Neutral 2",1,"Aqua (Water), Caprylic/Capric Triglyceride, Beeswax, Stearic Acid, Glycerol Caprylate, Glycol Palmitate, Glyceryl Stearate, Silica, Oryza Sativa (Rice) Starch, Mica, Dimethicone, Butyrospermum Parkii (Shea Butter) Fruit, Tocopherol (Vitamin E), Palmitoyl Tripeptide-5, Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Rosa Canina (Rosehip) Oil, Aspalathus Linearis (Rooibos Red Tea), Thymus Vulgaris (Thyme) Extract, Olea Europaea (Olive) Leaf Extract, Camellia Sinensis (Green tea) Leaf Extract, Punica Granatum (Pomegranate) Extract, Glycyrrhiza Glabra (Licorice) Root Powder, L-Ascorbic-Acid (Vitamin C), Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Liquid Foundation, Neutral 1",1,"Aqua (Water), Caprylic/Capric Triglyceride, Beeswax, Stearic Acid, Glycerol Caprylate, Glycol Palmitate, Glyceryl Stearate, Silica, Oryza Sativa (Rice) Starch, Mica, Dimethicone, Butyrospermum Parkii (Shea Butter) Fruit, Tocopherol (Vitamin E), Palmitoyl Tripeptide-5, Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Rosa Canina (Rosehip) Oil, Aspalathus Linearis (Rooibos Red Tea), Thymus Vulgaris (Thyme) Extract, Olea Europaea (Olive) Leaf Extract, Camellia Sinensis (Green tea) Leaf Extract, Punica Granatum (Pomegranate) Extract, Glycyrrhiza Glabra (Licorice) Root Powder, L-Ascorbic-Acid (Vitamin C), Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Liquid Foundation, Deep 1",1,"Aqua (Water), Caprylic/Capric Triglyceride, Beeswax, Stearic Acid, Glycerol Caprylate, Glycol Palmitate, Glyceryl Stearate, Silica, Oryza Sativa (Rice) Starch, Mica, Dimethicone, Butyrospermum Parkii (Shea Butter) Fruit, Tocopherol (Vitamin E), Palmitoyl Tripeptide-5, Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Rosa Canina (Rosehip) Oil, Aspalathus Linearis (Rooibos Red Tea), Thymus Vulgaris (Thyme) Extract, Olea Europaea (Olive) Leaf Extract, Camellia Sinensis (Green tea) Leaf Extract, Punica Granatum (Pomegranate) Extract, Glycyrrhiza Glabra (Licorice) Root Powder, L-Ascorbic-Acid (Vitamin C), Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Liquid Foundation, Cool 2",1,"Aqua (Water), Caprylic/Capric Triglyceride, Beeswax, Stearic Acid, Glycerol Caprylate, Glycol Palmitate, Glyceryl Stearate, Silica, Oryza Sativa (Rice) Starch, Mica, Dimethicone, Butyrospermum Parkii (Shea Butter) Fruit, Tocopherol (Vitamin E), Palmitoyl Tripeptide-5, Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Rosa Canina (Rosehip) Oil, Aspalathus Linearis (Rooibos Red Tea), Thymus Vulgaris (Thyme) Extract, Olea Europaea (Olive) Leaf Extract, Camellia Sinensis (Green tea) Leaf Extract, Punica Granatum (Pomegranate) Extract, Glycyrrhiza Glabra (Licorice) Root Powder, L-Ascorbic-Acid (Vitamin C), Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Liquid Eyeliner, Valley",1,"Aqua (Water), Vegetable Glycerin, Behenic Acid, Cellulose Gum, Vegetable Squalane, Xanthan Gum, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Extract, Perilla Ocymoides Extract, Ascorbic Acid (Vitamin C), Citrus Grandis (Grapefruit) Seed Extract, Roman Anthemis Nobilis (Chamomile) Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice, Tocopherol (Vitamin E), Caprylic Glycol, May contain: Red Iron Oxide, Yellow Iron Oxide, Black Iron Oxide, Titanium Dioxide"
"Mineral Fusion Liquid Eyeliner, Ebony",1,"Aqua (Water), Vegetable Glycerin, Behenic Acid, Cellulose Gum, Vegetable Squalane, Xanthan Gum, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Extract, Perilla Ocymoides Extract, Ascorbic Acid (Vitamin C), Citrus Grandis (Grapefruit) Seed Extract, Roman Anthemis Nobilis (Chamomile) Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice, Tocopherol (Vitamin E), Caprylic Glycol, May contain: Red Iron Oxide, Yellow Iron Oxide, Black Iron Oxide, Titanium Dioxide"
"Mineral Fusion Liquid Concealer, Warm",1,"Capric/Caprylic Triglycerides, Lanolin, Candelilla Wax, Carnauba Wax, Beeswax, Stearic Acid, Mica, Cocos Nucifera (Coconut) Oil, Tocopherol (Vitamin E), L-Ascorbic-Acid (Vitamin C), Butyrospermum Parkii (Shea Butter), Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Punica Granatum (Pomegranate) Extract, Palmitoyl Tripeptide-5, Glycyrrhiza Glabra (Licorice) Root Powder, Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Liquid Concealer, Olive",1,"Capric/Caprylic Triglycerides, Lanolin, Candelilla Wax, Carnauba Wax, Beeswax, Stearic Acid, Mica, Cocos Nucifera (Coconut) Oil, Tocopherol (Vitamin E), L-Ascorbic-Acid (Vitamin C), Butyrospermum Parkii (Shea Butter), Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Punica Granatum (Pomegranate) Extract, Palmitoyl Tripeptide-5, Glycyrrhiza Glabra (Licorice) Root Powder, Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Liquid Concealer, Neutral",1,"Capric/Caprylic Triglycerides, Lanolin, Candelilla Wax, Carnauba Wax, Beeswax, Stearic Acid, Mica, Cocos Nucifera (Coconut) Oil, Tocopherol (Vitamin E), L-Ascorbic-Acid (Vitamin C), Butyrospermum Parkii (Shea Butter), Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Punica Granatum (Pomegranate) Extract, Palmitoyl Tripeptide-5, Glycyrrhiza Glabra (Licorice) Root Powder, Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Liquid Concealer, Cool",1,"Capric/Caprylic Triglycerides, Lanolin, Candelilla Wax, Carnauba Wax, Beeswax, Stearic Acid, Mica, Cocos Nucifera (Coconut) Oil, Tocopherol (Vitamin E), L-Ascorbic-Acid (Vitamin C), Butyrospermum Parkii (Shea Butter), Aloe Barbadensis (Aloe Vera) Leaf Extract, Roman Anthemis Nobilis (Chamomile) Extract, Lavandula Angustifolia (Lavender) Extract, Punica Granatum (Pomegranate) Extract, Palmitoyl Tripeptide-5, Glycyrrhiza Glabra (Licorice) Root Powder, Phenoxyethanol, May contain: Titanium Dioxide, Black Iron Oxide, Red Iron Oxide, Yellow Iron Oxide"
"Mineral Fusion Lipstick, Tempting",1,"Helianthus Annuus (Sunflower) Seed Oil*, Trioctyldodecyl Citrate, Ricinus Communis (Castor) Seed Oil*, Sesamum Indicum (Sesame) Seed Oil*, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax*, Vegetable Oil, Theobroma Cacao (Cocoa) Seed Butter*, Cocos Nucifera (Coconut) Oil*, Persea Gratissima (Avocado) Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Officinalis (Rosemary) Oil*, Aloe Barbadensis (Aloe Vera) Leaf Extract*, Vaccinium Macrocarpon (Cranberry) Seed Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid (Vitamin C), Tocopherol (Vitamin E), May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Lipstick, Ruby",1,"Helianthus Annuus (Sunflower) Seed Oil*, Trioctyldodecyl Citrate, Ricinus Communis (Castor) Seed Oil*, Sesamum Indicum (Sesame) Seed Oil*, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax*, Vegetable Oil, Theobroma Cacao (Cocoa) Seed Butter*, Cocos Nucifera (Coconut) Oil*, Persea Gratissima (Avocado) Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Officinalis (Rosemary) Oil*, Aloe Barbadensis (Aloe Vera) Leaf Extract*, Vaccinium Macrocarpon (Cranberry) Seed Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid (Vitamin C), Tocopherol (Vitamin E), May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Lipstick, Peony",1,"Helianthus Annuus (Sunflower) Seed Oil*, Trioctyldodecyl Citrate, Ricinus Communis (Castor) Seed Oil*, Sesamum Indicum (Sesame) Seed Oil*, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax*, Vegetable Oil, Theobroma Cacao (Cocoa) Seed Butter*, Cocos Nucifera (Coconut) Oil*, Persea Gratissima (Avocado) Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Officinalis (Rosemary) Oil*, Aloe Barbadensis (Aloe Vera) Leaf Extract*, Vaccinium Macrocarpon (Cranberry) Seed Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid (Vitamin C), Tocopherol (Vitamin E), May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Lipstick, Nude",1,"Helianthus Annuus (Sunflower) Seed Oil*, Trioctyldodecyl Citrate, Ricinus Communis (Castor) Seed Oil*, Sesamum Indicum (Sesame) Seed Oil*, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax*, Vegetable Oil, Theobroma Cacao (Cocoa) Seed Butter*, Cocos Nucifera (Coconut) Oil*, Persea Gratissima (Avocado) Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Officinalis (Rosemary) Oil*, Aloe Barbadensis (Aloe Vera) Leaf Extract*, Vaccinium Macrocarpon (Cranberry) Seed Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid (Vitamin C), Tocopherol (Vitamin E), May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Lipstick, Molten",1,"Helianthus Annuus (Sunflower) Seed Oil*, Trioctyldodecyl Citrate, Ricinus Communis (Castor) Seed Oil*, Sesamum Indicum (Sesame) Seed Oil*, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax*, Vegetable Oil, Theobroma Cacao (Cocoa) Seed Butter*, Cocos Nucifera (Coconut) Oil*, Persea Gratissima (Avocado) Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Officinalis (Rosemary) Oil*, Aloe Barbadensis (Aloe Vera) Leaf Extract*, Vaccinium Macrocarpon (Cranberry) Seed Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid (Vitamin C), Tocopherol (Vitamin E), May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Lipstick, Melon",1,"Helianthus Annuus (Sunflower) Seed Oil*, Trioctyldodecyl Citrate, Ricinus Communis (Castor) Seed Oil*, Sesamum Indicum (Sesame) Seed Oil*, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax*, Vegetable Oil, Theobroma Cacao (Cocoa) Seed Butter*, Cocos Nucifera (Coconut) Oil*, Persea Gratissima (Avocado) Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Officinalis (Rosemary) Oil*, Aloe Barbadensis (Aloe Vera) Leaf Extract*, Vaccinium Macrocarpon (Cranberry) Seed Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid (Vitamin C), Tocopherol (Vitamin E), May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Lipstick, Intensity",1,"Helianthus Annuus (Sunflower) Seed Oil*, Trioctyldodecyl Citrate, Ricinus Communis (Castor) Seed Oil*, Sesamum Indicum (Sesame) Seed Oil*, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax*, Vegetable Oil, Theobroma Cacao (Cocoa) Seed Butter*, Cocos Nucifera (Coconut) Oil*, Persea Gratissima (Avocado) Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Officinalis (Rosemary) Oil*, Aloe Barbadensis (Aloe Vera) Leaf Extract*, Vaccinium Macrocarpon (Cranberry) Seed Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid (Vitamin C), Tocopherol (Vitamin E), May contain: Mica, Titanium Dioxide, Iron Oxide"
"Mineral Fusion Lipstick, Gem",1,"Helianthus Annuus (Sunflower) Seed Oil*, Trioctyldodecyl Citrate, Ricinus Communis (Castor) Seed Oil*, Sesamum Indicum (Sesame) Seed Oil*, Euphorbia Cerifera (Candelilla) Wax, Copernicia Cerifera (Carnauba) Wax*, Vegetable Oil, Theobroma Cacao (Cocoa) Seed Butter*, Cocos Nucifera (Coconut) Oil*, Persea Gratissima (Avocado) Oil*, Thymus Vulgaris (Thyme) Oil*, Rosmarinus Officinalis (Rosemary) Oil*, Aloe Barbadensis (Aloe Vera) Leaf Extract*, Vaccinium Macrocarpon (Cranberry) Seed Oil*, Camellia Sinensis (White Tea) Leaf Oil*, Cyclopia Intermedia (Honeybush) Leaf Oil*, Punica Granatum (Pomegranate) Oil*, L-Ascorbic Acid (Vitamin C), Tocopherol (Vitamin E), May contain: Mica, Titanium Dioxide, Iron Oxide"
